Task_Number,Task_Description,Status1,Project_Code,Project_Name,Science_Area_Name,SELN_TYPE11_CODE,USER_FLD20
J13224,2018 Comvita Manuka - B Poole,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13225,2018 Timberlands bare root cuttings (ex,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13226,Arbogen Manuka,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13227,Ballance glasshouse space,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13228,2019 WMS crop (Neville King) & Spec for,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13229,2019 Oji crop radiata,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13230,2019 Stuart Orme Manuka,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13231,2019 Spec Radiata crop,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13232,Arbogen grafting,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13233,2019 NZ Manuka Farming (Bronwyn),A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13234,2019 Peter Beets - P. radiata,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13235,2019 Comvita (Josh),A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13236,2019 Arbogen - E Regnans,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13237,2019 Richard Heikeill - E Globoidein,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13238,2019 Sally Carlton - P radiata,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13239,2019 Oji Eucs,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13240,2019 NZ Manuka - Jerome,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13241,2019 Cypress external (spec crop),A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13242,2019 NZ Manuka - Murray Redpath,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13243,2019 Potting up mother plants,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13244,2019 PF Olsen - E Fastigata,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13245,2019 Flax crop,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13246,2019 Comvita seedlings - Barry Poole,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13247,BUDGET PLACEHOLDER - EXPECTED NEW COMMER,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13248,Nursery dispatch boxes,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13002,Nursery external crop deferrals,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13095,July 2018 Raukawa Charitable Trust,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13098,Sep 17/18 ArborGen clonal testers contai,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13200,2017 NZM Manuka Crop,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13202,2017 - 2021 NZF Redwood Crop,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13203,Budget Oct 2017 P.Radiata WMS,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13209,Sept 2017 D West E. leucoxylon,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13210,2018 Manuka seedlings (NZ Manuka),I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13211,2018 Manuka Seedlings (Comvita),I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13212,2018 Oji and Euc Crop,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13215,2018 P.Radiata WMS,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13216,2018 Spec Radiata Seeding Crop,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13217,2018 Flax crop,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13056,Casual External customer,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13066,Maintenance P. radiata Scion stool beds,I,427,Nursery - External,Forest Genetics,FG,PROJECT
H42700,Project 427 Accrual Adjust,A,427,Nursery - External,Forest Genetics,FG,PROJECT
T02082,External,A,430,Veritec,Clean Technologies,CT,PROJECT
T02083,Internal,A,430,Veritec,Clean Technologies,CT,PROJECT
A09302,Mill Analytical Services,A,430,Veritec,Clean Technologies,CT,PROJECT
H50016,Project 432 Administration Costs,I,432,Harvesting,Forest Systems,FS,PROJECT
J59311,Nelson Forests,I,432,Harvesting,Forest Systems,FS,PROJECT
J61200,MPI Montréal Process TAC Conveynor,A,434,Climate Change,Forest Systems,FS,PROJECT
J61825,SLMACC Mind the Gaps: Synthesis and Syst,A,434,Climate Change,Forest Systems,FS,PROJECT
J61850,SLMACC Potential low emission land use,A,434,Climate Change,Forest Systems,FS,PROJECT
J61852,MPI ETS Costing Model Review,A,434,Climate Change,Forest Systems,FS,PROJECT
J61225,Co-learning and innovation,I,435,Education and Outreach,Forest Systems,FS,PROJECT
J60901,Waimarino Monitoring,A,437,Land Use Management,Forest Systems,FS,PROJECT
J60977,Characterise biodiversity and ecosystem,A,437,Land Use Management,Forest Systems,FS,PROJECT
J62038,SLMACC - Drought Costing,I,437,Land Use Management,Forest Systems,FS,PROJECT
J62039,Ashley Dene MBIE Project,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61089,BOPRC Land Technical Advisory Group (TAG,I,437,Land Use Management,Forest Systems,FS,PROJECT
J61132,FOA Environmental Forestry Info. Sheets,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61134,FOA Planted Forests Information Portal,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61137,BOPRC Nutrient leaching potential after,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61142,NSC Creating an Economically Resilient N,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61152,WRC Phase 3 - Freshwater Ecosystems Asse,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61154,Red Stag - Assessment of impact LTS,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61156,Post-doc Xiaoben Jiang,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61157,BOPRC Data Access Agreement,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61158,KT Te Ngae Nursery DUALEM,A,437,Land Use Management,Forest Systems,FS,PROJECT
F50364,WAW Public Perception,A,437,Land Use Management,Forest Systems,FS,PROJECT
H50001,Project 437 Administration Costs,I,437,Land Use Management,Forest Systems,FS,PROJECT
H43700,Project 437 Accrual Adjust,A,437,Land Use Management,Forest Systems,FS,PROJECT
H50008,Project 442 Administration Costs,A,442,Biowaste ESR,Clean Technologies,CT,PROJECT
J62024,Integrated case studies: social and econ,A,442,Biowaste ESR,Clean Technologies,CT,PROJECT
J62027,Biosolids and soil functions,A,442,Biowaste ESR,Clean Technologies,CT,PROJECT
J61004,Wastes - Application of Biosolids at the,A,442,Biowaste ESR,Clean Technologies,CT,PROJECT
J32881,Speciality Wood Product Partnership Prog,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79230,Wood Preservation Dev. Research,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79232,Bioactives: H3 protection,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79253,Eugenol Combinations,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79254,Hardwood/Other Softwood Treatment Option,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79256,Assessment of Naturally Durable Species,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
H45100,Project 451 Accrual Adjust,A,451,Biopolymer Network,BioPolymers and Chemicals,BP,PROJECT
P20477,"Polyphenolic Resins, Foams & Derivatives",A,451,Biopolymer Network,BioPolymers and Chemicals,BP,PROJECT
P20478,"Protein & Polysaccharide Resins, Foams &",A,451,Biopolymer Network,BioPolymers and Chemicals,BP,PROJECT
P20479,Technology Transfer & Applications,A,451,Biopolymer Network,BioPolymers and Chemicals,BP,PROJECT
R01515,General microscopy,A,454,Commercial Microscopy,Biotransformation,BI,PROJECT
J31952,Coir Rope Alkali Treatments,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31964,Surface water absorbency and water vapou,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31965,BPA – 1805-01 - Prebiotic Wood Molasses,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31966,Visy Cyclic creep performance of ten lin,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31969,Caustic treatment of coir rope (3),A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31970,Pulping of hemp stalks: Stage 1 laborato,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31971,Masons Plastabrick - AV House Wrap,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31972,Ligar - Produce MIP-impregnated sheets,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31973,PFI refining curves of 4 pulps - Whakata,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31974,Assessment of Protecto Wrap Universal pr,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31975,Chemcolour - Colour screening of five pu,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31976,Evaluation of BCTMP Pulp and Paper - WPI,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31977,Testing of FAB underlay to NZS2295,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31978,Marshall Innovations testing of 4 underl,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31979,Control and Aged Mento 500 testing - BRA,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31980,Marshall Innovations - Evaluation of wal,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31981,Frame Protection - Strength of aged and,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31982,Oji Fibre Solutions - Analyse 6 chip sam,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J48921,Misc PTS <$2000,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J48922,MUST paper,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04000,P&P CHH,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04033,Feasibility Analysis for Growing a Short,I,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04035,"Burst, SCT, tear and tensile properties",A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04040,Oji Fibre Solutions - Washing simulation,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04041,Oji Holdings Corp - Laboratory Hatschek Evaluation of Fibre ,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04042,Brightness and Kappa of 60 lap pulps - O,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
A85300,Microplastics,A,459,Bioplastics and Related Polymer Projects,BioPolymers and Chemicals,BP,PROJECT
A72810,Computer Aided Material Prediction,A,459,Bioplastics and Related Polymer Projects,BioPolymers and Chemicals,BP,PROJECT
A40078,Bioplastics Capability,A,459,Bioplastics and Related Polymer Projects,BioPolymers and Chemicals,BP,PROJECT
J20184,Packaging - Food contact compliance,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20196,China/NZ Packaging Workshop,I,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20198,NZ/China Food Contact Compliance Platfor,I,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20199,Packaging sub contractors,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20108,Appita Conference - December 2018,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20160,Packaging - General,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20101,Packaging Workshop - August 2018,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J79000,Dewatering Business case,A,463,Supercritical Fluid Systems,Wood and Fibre,WF,PROJECT
J79037,Extracts,A,463,Supercritical Fluid Systems,Wood and Fibre,WF,PROJECT
J79867,Ligate 2,A,463,Supercritical Fluid Systems,Wood and Fibre,WF,PROJECT
J81100,Metallic Fibered Concrete Flexural testi,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81101,Lockwood Wall testing rig calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81102,IBS - P21 tests 4.5 & 6mm Cement board,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81103,Gunnersen formply tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81104,CHH Eves Valley - Calibrations,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81105,CHH Eves Valley - Calibrations,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81106,Waipapa Pine Load Cell Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81107,Dunning Thorton - HUB Component Testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81108,Zog - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81109,Kopine - Run 264,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81110,Calibre Equipment Loadcell Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81111,Northpine Loadcell Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81112,LF FastHouse Limited - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81113,EMH - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81114,Cross Arm Tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81115,Poplar LVL Dunnage Bearing Tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81116,Redwoods Treewalk - Netting test,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J81117,Kopine - Run 273,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80655,USG Boral - P21 tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80660,James Hardie - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80662,OJI Load cell calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80663,Permapine - House Piles,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80664,Andy Gunson- Particle Sieve Analysis,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80665,Kopine - Run 204,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80666,NZwood - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80667,Durapanel - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80668,Kopine - Bending - Option A,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80669,Grant Meads Sip Panel tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80670,Kilwell - Carbon fibre tubes tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80671,Keith Hay - Rib panel tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80672,Ferrier - LVL Fastener withdrawal tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
