Task_Number,Task_Description,Status1,Project_Code,Project_Name,Science_Area_Name,SELN_TYPE11_CODE,USER_FLD20
H34141,Proposal development,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34142,Opportunity development,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34143,Capability development,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34144,Team H&S,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34145,H&S representative,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34146,Lab management and maintenance,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34147,Strategic team funded initiatives,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34148,Equipment maintenance,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34149,Scion community,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34150,General admin,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34151,Maintenance of Pyrolyisis Plant,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34152,Carbohydrate Method Development,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34156,Sample Storage Transfers,A,341,Clean Technologies,Clean Technologies,CT,TEAM
H34200,Team Overheads - Team 342 Value Chain Optimisation,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34240,Blue sky,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34241,Proposal development,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34242,Opportunity development,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34243,Capability development,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34244,Team H&S,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34245,H&S representative,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34246,Lab management and maintenance,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34247,Strategic team funded initiatives,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34248,Equipment maintenance,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34249,Scion community,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34250,General admin,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34253,Unallocated VCO SSIF Revenue,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
H34256,Sample Storage Transfers,A,342,Value Chain Optimisation,Value Chain Optimisation,VC,TEAM
J13095,July 2018 Raukawa Charitable Trust,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13098,Sep 17/18 ArborGen clonal testers container grown R Pine,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13200,2017 NZM Manuka Crop,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13202,2017 - 2021 NZF Redwood Crop,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13203,Budget Oct 2017 P.Radiata WMS,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13209,Sept 2017 D West E. leucoxylon,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13210,2018 Manuka seedlings (NZ Manuka),A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13211,2018 Manuka Seedlings (Comvita),A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13212,2018 Oji and Euc Crop,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13215,2018 P.Radiata WMS,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13216,2018 Spec Radiata Seeding Crop,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13217,2018 Flax crop,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13066,Maintenance P. radiata Scion stool beds,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13002,Nursery external crop deferrals,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13056,Casual External customer,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13223,Oct 2018 Arbogen clones deflasking - pricking out,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13224,2018 Comvita Manuka - B Poole,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13225,2018 Timberlands bare root cuttings (ex Simeon),I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13226,Arbogen Manuka,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13227,Ballance glasshouse space,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13228,2019 WMS crop (Neville King) & Spec for external clients,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13229,2019 Oji crop radiata,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13230,2019 Stuart Orme Manuka,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13231,2019 Spec Radiata crop,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13232,Arbogen grafting,I,427,Nursery - External,Forest Genetics,FG,PROJECT
J13233,2019 NZ Manuka Farming (Bronwyn),A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13234,2019 Peter Beets - P. radiata,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13235,2019 Comvita (Josh),A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13236,2019 Arbogen - E Regnans,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13237,2019 Richard Heikeill - E Globoidein,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13238,2019 Sally Carlton - P radiata,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13239,2019 Oji Eucs,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13240,2019 NZ Manuka - Jerome,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13241,Cypress external,A,427,Nursery - External,Forest Genetics,FG,PROJECT
J13242,NZ Manuka - Murray Redpath,I,427,Nursery - External,Forest Genetics,FG,PROJECT
H42700,Project 427 Accrual Adjust,A,427,Nursery - External,Forest Genetics,FG,PROJECT
T02082,External,A,430,Veritec,Clean Technologies,CT,PROJECT
T02083,Internal,A,430,Veritec,Clean Technologies,CT,PROJECT
A09302,Mill Analytical Services,A,430,Veritec,Clean Technologies,CT,PROJECT
H50016,Project 432 Administration Costs,I,432,Harvesting,Forest Systems,FS,PROJECT
J59311,Nelson Forests,I,432,Harvesting,Forest Systems,FS,PROJECT
J61200,MPI Montréal Process TAC Conveynor,A,434,Climate Change,Forest Systems,FS,PROJECT
J61825,SLMACC Mind the Gaps: Synthesis and Systematic Review of Cli,A,434,Climate Change,Forest Systems,FS,PROJECT
J61850,SLMACC Potential low emission land use,A,434,Climate Change,Forest Systems,FS,PROJECT
J61852,MPI ETS Costing Model Review,A,434,Climate Change,Forest Systems,FS,PROJECT
J61225,Co-learning and innovation,I,435,Education and Outreach,Forest Systems,FS,PROJECT
J61089,BOPRC Land Technical Advisory Group (TAG),I,437,Land Use Management,Forest Systems,FS,PROJECT
J61132,FOA Environmental Forestry Info. Sheets,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61134,FOA Planted Forests Information Portal,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61137,BOPRC Nutrient leaching potential after p.radiata harvesting,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61142,NSC Creating an Economically Resilient NZ,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61154,Red Stag - Assessment of impact LTS,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61156,Post-doc Xiaoben Jiang,A,437,Land Use Management,Forest Systems,FS,PROJECT
J61157,BOPRC Data Access Agreement,I,437,Land Use Management,Forest Systems,FS,PROJECT
J62038,SLMACC - Drought Costing,I,437,Land Use Management,Forest Systems,FS,PROJECT
J62039,Ashley Dene MBIE Project,A,437,Land Use Management,Forest Systems,FS,PROJECT
J60901,Waimarino Monitoring,A,437,Land Use Management,Forest Systems,FS,PROJECT
J60977,Characterise biodiversity and ecosystem services relationshi,A,437,Land Use Management,Forest Systems,FS,PROJECT
F50364,WAW Public Perception,A,437,Land Use Management,Forest Systems,FS,PROJECT
H50001,Project 437 Administration Costs,I,437,Land Use Management,Forest Systems,FS,PROJECT
H43700,Project 437 Accrual Adjust,A,437,Land Use Management,Forest Systems,FS,PROJECT
H50008,Project 442 Administration Costs,A,442,Biowaste ESR,Clean Technologies,CT,PROJECT
J62024,Integrated case studies: social and economic research,A,442,Biowaste ESR,Clean Technologies,CT,PROJECT
J62027,Biosolids and soil functions,A,442,Biowaste ESR,Clean Technologies,CT,PROJECT
J61004,Wastes - Application of Biosolids at the Rabbit Island,A,442,Biowaste ESR,Clean Technologies,CT,PROJECT
J79230,Wood Preservation Dev. Research,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79232,Bioactives: H3 protection,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79253,Eugenol Combinations,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79254,Hardwood/Other Softwood Treatment Options,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J79256,Assessment of Naturally Durable Species - Graveyards,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
J32881,Speciality Wood Product Partnership Programme,A,447,Bioactives Wood Protection,Wood and Fibre,WF,PROJECT
P20477,"Polyphenolic Resins, Foams & Derivatives",A,451,Biopolymer Network,BioPolymers and Chemicals,BP,PROJECT
P20478,"Protein & Polysaccharide Resins, Foams & Derivatives",A,451,Biopolymer Network,BioPolymers and Chemicals,BP,PROJECT
P20479,Technology Transfer & Applications,A,451,Biopolymer Network,BioPolymers and Chemicals,BP,PROJECT
R01515,General microscopy,A,454,Commercial Microscopy,Biotransformation,BI,PROJECT
J31952,Coir Rope Alkali Treatments,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J48921,Misc PTS <$2000,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J48922,MUST paper,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31964,Surface water absorbency and water vapour resistance of four,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31965,BPA – 1805-01 - Prebiotic Wood Molasses,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31966,Visy Cyclic creep performance of ten liners,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31969,Caustic treatment of coir rope (3),A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31970,Pulping of hemp stalks: Stage 1 laboratory demonstration,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31971,Masons Plastabrick - AV House Wrap,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31972,Ligar - Produce MIP-impregnated sheets,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31973,PFI refining curves of 4 pulps - Whakatane Mills,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31974,Assessment of Protecto Wrap Universal primer-free adhesive m,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31975,Chemcolour - Colour screening of five pulp dyes,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31976,Evaluation of BCTMP Pulp and Paper - WPI,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31977,Testing of FAB underlay to NZS2295,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J31978,Marshall Innovations testing of 4 underlays,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04000,P&P CHH,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04033,Feasibility Analysis for Growing a Short-rotation Pulpwood F,I,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04035,"Burst, SCT, tear and tensile properties of five liner grades",A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04040,Oji Fibre Solutions - Washing simulations and chemical analy,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04041,Oji Holdings Corp - Laboratory Hatschek Evaluation of Fibre ,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
J04042,Brightness and Kappa of 60 lap pulps - Oji Fibre,A,455,Commercial Pulp and Paper,Wood and Fibre,WF,PROJECT
A72810,Computer Aided Material Prediction,A,459,Bioplastics and Related Polymer Projects,BioPolymers and Chemicals,BP,PROJECT
A40078,Bioplastics Capability,A,459,Bioplastics and Related Polymer Projects,BioPolymers and Chemicals,BP,PROJECT
J20184,Packaging - Food contact compliance,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20196,China/NZ Packaging Workshop,I,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20198,NZ/China Food Contact Compliance Platform,I,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20199,Packaging sub contractors,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20101,Packaging Workshop - August 2018,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20108,Appita Conference - December 2018,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J20160,Packaging - General,A,460,Packaging,BioPolymers and Chemicals,BP,PROJECT
J79000,Dewatering Business case,A,463,Supercritical Fluid Systems,Wood and Fibre,WF,PROJECT
J79037,Extracts,A,463,Supercritical Fluid Systems,Wood and Fibre,WF,PROJECT
J79867,Ligate 2,A,463,Supercritical Fluid Systems,Wood and Fibre,WF,PROJECT
J80655,USG Boral - P21 tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80660,James Hardie - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80662,OJI Load cell calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80663,Permapine - House Piles,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80664,Andy Gunson- Particle Sieve Analysis,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80665,Kopine - Run 204,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80666,NZwood - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80667,Durapanel - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80668,Kopine - Bending - Option A,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80669,Grant Meads Sip Panel tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80670,Kilwell - Carbon fibre tubes tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80671,Keith Hay - Rib panel tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80672,Ferrier - LVL Fastener withdrawal tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80673,Zog - Fastener Shear tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80674,Lonza - Small clear tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80675,James Hardie - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80676,Boral - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80677,Kopine - Run 214,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80678,McAlpine - Load cell calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80679,Rooflogic P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80680,Andy Gunson- Particle Sieve Analysis (17 samples),A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80681,CHH - Whangarei Calibrations,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80682,Kopine - Run 224_225,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80683,Resistance to water penetration AsureQuality IBS,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80684,GAMMA - Portal testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80685,Clelands Timber QA Spreadsheet,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80686,MaxBert Load Cell Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80687,Kilwell Carbon Fibre Tube QA tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80688,Kilwell Carbon Fibre Tubeconnections - Hemo QA tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80689,IBS - P21 tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80690,Andy Gunson - Particle Sieve Analysis,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80691,Kopine - Run 241,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80692,Laminata MiniCLT Bending tests,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80693,GradeRight Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80694,HouseIt - P21 testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80695,Oji Load Cell Calibration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80696,AsureQuality IBS - resistance to water penetration,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80697,IBS - Water Vapour Transmission,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80698,TimSpec - Spotted Gum Bending,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J80699,JNL - LVL FJ testing,A,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
J30000,"Timber Engineering Lab (Combined target $210,000)",I,464,Wood and Wood Product Testing,Wood and Fibre,WF,PROJECT
A62900,"Misc Commercial Drying <$2,000",A,465,Wood Drying,Wood and Fibre,WF,PROJECT
A62930,Comparative Distortion of Weatherboards,A,465,Wood Drying,Wood and Fibre,WF,PROJECT
A62932,Windsor DryspecTtransition Support,I,465,Wood Drying,Wood and Fibre,WF,PROJECT
